id,timestamp,symbol,direction,confidence,baseline_outcome,confirmation_timestamp,confirmation_close,calibrated_entry,calibrated_stop,calibrated_target,risk_pct,status,outcome,outcome_r,outcome_timestamp,reason
Bitget_2026-09-21T10:47:00.669314+00:00_SPKUSDT_SHORT_0.02181,2026-09-21T10:47:00.669314+00:00,SPKUSDT,SHORT,80.0,FAIL,2026-09-21T10:55:00+00:00,0.02178,0.02178,0.022055,0.02123,1.262626,RESOLVED,FAIL,-1.0,2026-09-21T12:35:00+00:00,confirmed 5m close; calibrated execution
Bitget_2026-09-21T10:47:02.725747+00:00_TRBUSDT_SHORT_19.004,2026-09-21T10:47:02.725747+00:00,TRBUSDT,SHORT,80.0,,,,,,,,SKIPPED,,,,first closed 5m confirmation did not preserve direction
Bitget_2026-09-21T11:47:56.265042+00:00_ASTERUSDT_SHORT_0.7639,2026-09-21T11:47:56.265042+00:00,ASTERUSDT,SHORT,81.2,EXPANSION,2026-09-21T11:55:00+00:00,0.7606,0.7606,0.76598,0.74984,0.707336,RESOLVED,EXPANSION,2.0,2026-09-21T13:40:00+00:00,confirmed 5m close; calibrated execution
Bitget_2026-09-21T11:47:57.407820+00:00_AXSUSDT_SHORT_1.066,2026-09-21T11:47:57.407820+00:00,AXSUSDT,SHORT,81.2,FAIL,2026-09-21T11:55:00+00:00,1.065,1.065,1.07255714286,1.04988571429,0.709591,RESOLVED,FAIL,-1.0,2026-09-21T12:25:00+00:00,confirmed 5m close; calibrated execution
Bitget_2026-09-21T11:48:01.164719+00:00_CHZUSDT_SHORT_0.01576,2026-09-21T11:48:01.164719+00:00,CHZUSDT,SHORT,81.2,FAIL,2026-09-21T11:55:00+00:00,0.01574,0.01574,0.015826142857,0.015567714286,0.547286,RESOLVED,FAIL,-1.0,2026-09-21T12:25:00+00:00,confirmed 5m close; calibrated execution
Bitget_2026-09-21T11:48:02.414880+00:00_CTSIUSDT_SHORT_0.02958,2026-09-21T11:48:02.414880+00:00,CTSIUSDT,SHORT,87.5,FAIL,,,,,,,SKIPPED,,,,first closed 5m confirmation did not preserve direction
Bitget_2026-09-21T11:48:06.339181+00:00_FFUSDT_LONG_0.12735,2026-09-21T11:48:06.339181+00:00,FFUSDT,LONG,81.2,,,,,,,,SKIPPED,,,,first closed 5m confirmation did not preserve direction
Bitget_2026-09-21T11:48:13.271785+00:00_MANTAUSDT_SHORT_0.07146,2026-09-21T11:48:13.271785+00:00,MANTAUSDT,SHORT,80.0,FAIL,2026-09-21T11:55:00+00:00,0.07117,0.07117,0.072048428571,0.069413142858,1.234268,RESOLVED,FAIL,-1.0,2026-09-21T12:50:00+00:00,confirmed 5m close; calibrated execution
Bitget_2026-09-21T11:48:21.923724+00:00_STRKUSDT_LONG_0.047062,2026-09-21T11:48:21.923724+00:00,STRKUSDT,LONG,85.0,FAIL,,,,,,,SKIPPED,,,,first closed 5m confirmation did not preserve direction
Bitget_2026-09-21T11:48:22.023900+00:00_STXUSDT_SHORT_0.3337,2026-09-21T11:48:22.023900+00:00,STXUSDT,SHORT,81.2,EXPANSION,2026-09-21T11:55:00+00:00,0.333,0.333,0.334392857143,0.330214285714,0.418275,RESOLVED,EXPANSION,2.0,2026-09-21T13:15:00+00:00,confirmed 5m close; calibrated execution
Bitget_2026-09-21T11:48:26.207200+00:00_WIFUSDT_SHORT_0.2168,2026-09-21T11:48:26.207200+00:00,WIFUSDT,SHORT,80.0,FAIL,2026-09-21T11:55:00+00:00,0.2165,0.2165,0.219072857143,0.211354285714,1.188387,RESOLVED,FAIL,-1.0,2026-09-21T12:15:00+00:00,confirmed 5m close; calibrated execution
Bitget_2026-09-21T11:48:26.579882+00:00_XLMUSDT_SHORT_0.21184,2026-09-21T11:48:26.579882+00:00,XLMUSDT,SHORT,81.2,EXPANSION,2026-09-21T11:55:00+00:00,0.2114,0.2114,0.213225428571,0.207749142858,0.863495,RESOLVED,EXPANSION,2.0,2026-09-21T13:30:00+00:00,confirmed 5m close; calibrated execution
Bitget_2026-09-21T12:00:45.261115+00:00_1000BONKUSDT_SHORT_0.00324,2026-09-21T12:00:45.261115+00:00,1000BONKUSDT,SHORT,87.5,FAIL,,,,,,,SKIPPED,,,,first closed 5m confirmation did not preserve direction
Bitget_2026-09-21T12:00:47.775343+00:00_ARUSDT_LONG_4.74,2026-09-21T12:00:47.775343+00:00,ARUSDT,LONG,81.2,FAIL,,,,,,,SKIPPED,,,,first closed 5m confirmation did not preserve direction
Bitget_2026-09-21T12:00:49.107677+00:00_AXSUSDT_SHORT_1.062,2026-09-21T12:00:49.107677+00:00,AXSUSDT,SHORT,100.0,FAIL,,,,,,,SKIPPED,,,,first closed 5m confirmation did not preserve direction
Bitget_2026-09-21T12:00:49.520168+00:00_BBUSDT_SHORT_0.00886,2026-09-21T12:00:49.520168+00:00,BBUSDT,SHORT,81.2,FAIL,,,,,,,SKIPPED,,,,first closed 5m confirmation did not preserve direction
Bitget_2026-09-21T12:00:53.511667+00:00_CHZUSDT_SHORT_0.01572,2026-09-21T12:00:53.511667+00:00,CHZUSDT,SHORT,81.2,FAIL,,,,,,,SKIPPED,,,,first closed 5m confirmation did not preserve direction
Bitget_2026-09-21T12:00:56.084914+00:00_EDGEUSDT_SHORT_0.6083,2026-09-21T12:00:56.084914+00:00,EDGEUSDT,SHORT,100.0,FAIL,,,,,,,SKIPPED,,,,calibrated stop exceeds 2% risk cap
Bitget_2026-09-21T12:00:58.008527+00:00_FARTCOINUSDT_SHORT_0.1812,2026-09-21T12:00:58.008527+00:00,FARTCOINUSDT,SHORT,87.5,FAIL,2026-09-21T12:10:00+00:00,0.1808,0.1808,0.183295714286,0.175808571428,1.380373,RESOLVED,FAIL,-1.0,2026-09-21T13:05:00+00:00,confirmed 5m close; calibrated execution
Bitget_2026-09-21T12:00:59.106872+00:00_GALAUSDT_SHORT_0.002031,2026-09-21T12:00:59.106872+00:00,GALAUSDT,SHORT,87.5,FAIL,,,,,,,SKIPPED,,,,first closed 5m confirmation did not preserve direction
Bitget_2026-09-21T12:01:03.452446+00:00_KITEUSDT_SHORT_0.12018,2026-09-21T12:01:03.452446+00:00,KITEUSDT,SHORT,80.0,FAIL,2026-09-21T12:10:00+00:00,0.12018,0.12018,0.120948,0.118644,0.639041,RESOLVED,FAIL,-1.0,2026-09-21T12:45:00+00:00,confirmed 5m close; calibrated execution
Bitget_2026-09-21T12:01:03.991657+00:00_LINKUSDT_SHORT_13.035,2026-09-21T12:01:03.991657+00:00,LINKUSDT,SHORT,100.0,FAIL,,,,,,,SKIPPED,,,,first closed 5m confirmation did not preserve direction
Bitget_2026-09-21T12:01:08.485774+00:00_ONGUSDT_SHORT_0.08829,2026-09-21T12:01:08.485774+00:00,ONGUSDT,SHORT,80.0,FAIL,,,,,,,SKIPPED,,,,first closed 5m confirmation did not preserve direction
Bitget_2026-09-21T12:01:12.671251+00:00_RUNEUSDT_SHORT_0.598,2026-09-21T12:01:12.671251+00:00,RUNEUSDT,SHORT,100.0,FAIL,,,,,,,SKIPPED,,,,first closed 5m confirmation did not preserve direction
Bitget_2026-09-21T12:01:14.603464+00:00_STXUSDT_SHORT_0.332,2026-09-21T12:01:14.603464+00:00,STXUSDT,SHORT,87.5,,2026-09-21T12:10:00+00:00,0.331,0.331,0.334405714286,0.324188571428,1.028917,ELIGIBLE_UNRESOLVED,,,,confirmed 5m close; calibrated execution
Bitget_2026-09-21T12:01:16.787660+00:00_TUTUSDT_SHORT_0.02207,2026-09-21T12:01:16.787660+00:00,TUTUSDT,SHORT,100.0,FAIL,2026-09-21T12:10:00+00:00,0.02202,0.02202,0.022341142857,0.021377714286,1.458414,RESOLVED,FAIL,-1.0,2026-09-21T12:30:00+00:00,confirmed 5m close; calibrated execution
Bitget_2026-09-21T12:01:18.093554+00:00_VELVETUSDT_SHORT_0.06208,2026-09-21T12:01:18.093554+00:00,VELVETUSDT,SHORT,100.0,FAIL,2026-09-21T12:10:00+00:00,0.062,0.062,0.062704285714,0.060591428572,1.135945,RESOLVED,FAIL,-1.0,2026-09-21T12:35:00+00:00,confirmed 5m close; calibrated execution
Bitget_2026-09-21T12:01:19.339769+00:00_XLMUSDT_SHORT_0.21046,2026-09-21T12:01:19.339769+00:00,XLMUSDT,SHORT,87.5,,,,,,,,SKIPPED,,,,first closed 5m confirmation did not preserve direction
Bitget_2026-09-21T12:07:47.953218+00:00_EDGEUSDT_SHORT_0.604,2026-09-21T12:07:47.953218+00:00,EDGEUSDT,SHORT,100.0,FAIL,,,,,,,SKIPPED,,,,first closed 5m confirmation did not preserve direction
Bitget_2026-09-21T12:08:09.618709+00:00_VELVETUSDT_SHORT_0.06185,2026-09-21T12:08:09.618709+00:00,VELVETUSDT,SHORT,100.0,FAIL,,,,,,,SKIPPED,,,,first closed 5m confirmation did not preserve direction
Bitget_2026-09-21T13:31:45.487299+00:00_EIGENUSDT_SHORT_0.2488,2026-09-21T13:31:45.487299+00:00,EIGENUSDT,SHORT,100.0,,2026-09-21T13:40:00+00:00,0.2473,0.2473,0.25192,0.23806,1.868176,ELIGIBLE_UNRESOLVED,,,,confirmed 5m close; calibrated execution
Bitget_2026-09-21T13:31:52.042107+00:00_KAITOUSDT_SHORT_0.349,2026-09-21T13:31:52.042107+00:00,KAITOUSDT,SHORT,100.0,FAIL,,,,,,,SKIPPED,,,,first closed 5m confirmation did not preserve direction
Bitget_2026-09-21T13:50:29.856612+00:00_PUMPUSDT_LONG_0.004382,2026-09-21T13:50:29.856612+00:00,PUMPUSDT,LONG,81.2,FAIL,,,,,,,SKIPPED,,,,first closed 5m confirmation did not preserve direction
Bitget_2026-09-21T14:58:23.969297+00:00_GPSUSDT_LONG_0.010993,2026-09-21T14:58:23.969297+00:00,GPSUSDT,LONG,80.0,FAIL,,,,,,,SKIPPED,,,,first closed 5m confirmation did not preserve direction
Bitget_2026-09-21T14:58:27.643093+00:00_KERNELUSDT_LONG_0.04755,2026-09-21T14:58:27.643093+00:00,KERNELUSDT,LONG,100.0,FAIL,,,,,,,SKIPPED,,,,first closed 5m confirmation did not preserve direction
Bitget_2026-09-21T14:58:29.717343+00:00_METISUSDT_LONG_3.575,2026-09-21T14:58:29.717343+00:00,METISUSDT,LONG,80.0,FAIL,,,,,,,SKIPPED,,,,first closed 5m confirmation did not preserve direction
Bitget_2026-09-21T15:32:33.923008+00:00_DGAIUSDT_LONG_1.0214,2026-09-21T15:32:33.923008+00:00,DGAIUSDT,LONG,87.5,,2026-09-21T15:40:00+00:00,1.0218,1.0218,1.00287,1.05966,1.852613,ELIGIBLE_UNRESOLVED,,,,confirmed 5m close; calibrated execution
Bitget_2026-09-21T17:22:03.542876+00:00_AKTUSDT_LONG_0.6321,2026-09-21T17:22:03.542876+00:00,AKTUSDT,LONG,81.2,FAIL,,,,,,,SKIPPED,,,,first closed 5m confirmation did not preserve direction
Bitget_2026-09-21T17:46:36.891485+00:00_BBUSDT_LONG_0.0089,2026-09-21T17:46:36.891485+00:00,BBUSDT,LONG,80.0,FAIL,,,,,,,SKIPPED,,,,first closed 5m confirmation did not preserve direction
Bitget_2026-09-21T18:49:40.331193+00:00_BEATUSDT_LONG_0.0875,2026-09-21T18:49:40.331193+00:00,BEATUSDT,LONG,87.5,FAIL,,,,,,,SKIPPED,,,,first closed 5m confirmation did not preserve direction
Bitget_2026-09-21T18:49:40.948064+00:00_BLESSUSDT_LONG_0.00938,2026-09-21T18:49:40.948064+00:00,BLESSUSDT,LONG,100.0,FAIL,2026-09-21T18:55:00+00:00,0.009405,0.009405,0.009314028571,0.009586942858,0.967267,RESOLVED,FAIL,-1.0,2026-09-21T19:45:00+00:00,confirmed 5m close; calibrated execution
Bitget_2026-09-21T18:50:03.248463+00:00_SUIUSDT_LONG_1.0092,2026-09-21T18:50:03.248463+00:00,SUIUSDT,LONG,87.5,,2026-09-21T19:00:00+00:00,1.012,1.012,0.998644285714,1.03871142857,1.319735,ELIGIBLE_UNRESOLVED,,,,confirmed 5m close; calibrated execution
Bitget_2026-09-21T18:50:03.598762+00:00_SUSHIUSDT_LONG_0.2553,2026-09-21T18:50:03.598762+00:00,SUSHIUSDT,LONG,87.5,FAIL,,,,,,,SKIPPED,,,,first closed 5m confirmation did not preserve direction
Bitget_2026-09-21T18:50:08.987487+00:00_牛来USDT_LONG_0.10509,2026-09-21T18:50:08.987487+00:00,牛来USDT,LONG,100.0,,,,,,,,SKIPPED,,,,first closed 5m confirmation did not preserve direction
Bitget_2026-09-21T22:21:51.826440+00:00_1000000MOGUSDT_LONG_0.1194,2026-09-21T22:21:51.826440+00:00,1000000MOGUSDT,LONG,80.0,,2026-09-21T22:30:00+00:00,0.1203,0.1203,0.118241428571,0.124417142858,1.711198,ELIGIBLE_UNRESOLVED,,,,confirmed 5m close; calibrated execution
Bitget_2026-09-22T00:43:52.081715+00:00_FLOCKUSDT_LONG_0.07373,2026-09-22T00:43:52.081715+00:00,FLOCKUSDT,LONG,100.0,FAIL,,,,,,,SKIPPED,,,,first closed 5m confirmation did not preserve direction
Bitget_2026-09-22T02:16:00.627928+00:00_APTUSDT_LONG_0.7687,2026-09-22T02:16:00.627928+00:00,APTUSDT,LONG,85.0,EXPANSION,2026-09-22T02:25:00+00:00,0.7716,0.7716,0.767594285714,0.779611428572,0.519144,RESOLVED,EXPANSION,2.0,2026-09-22T02:40:00+00:00,confirmed 5m close; calibrated execution
Bitget_2026-09-22T02:45:12.999982+00:00_METUSDT_LONG_0.2795,2026-09-22T02:45:12.999982+00:00,METUSDT,LONG,80.0,,,,,,,,SKIPPED,,,,insufficient future closed candles
