id,timestamp,symbol,direction,confirmation_timestamp,confirmation_close,retest_timestamp,retest_close,calibrated_entry,calibrated_stop,calibrated_target,risk_pct,status,outcome,outcome_r,outcome_timestamp,reason
Bitget_2026-09-22T03:22:58.486657+00:00_BTCUSDT_LONG_85469.6,2026-09-22T03:22:58.486657+00:00,BTCUSDT,LONG,2026-09-22T03:30:00+00:00,85573.3,,,,,,,SKIPPED,,,,confirmation candle already touched original stop/target
Bitget_2026-09-22T03:23:19.557037+00:00_RUNEUSDT_LONG_0.6351,2026-09-22T03:23:19.557037+00:00,RUNEUSDT,LONG,2026-09-22T03:30:00+00:00,0.6377,2026-09-22T03:35:00+00:00,0.6377,0.6377,0.632085714286,0.648928571428,0.880396,RESOLVED,FAIL,-1.0,2026-09-22T05:15:00+00:00,confirmed then retested
Bitget_2026-09-22T04:40:17.382709+00:00_ALCHUSDT_LONG_0.05092,2026-09-22T04:40:17.382709+00:00,ALCHUSDT,LONG,2026-09-22T05:05:00+00:00,0.05114,2026-09-22T05:10:00+00:00,0.05132,0.05132,0.050087571429,,2.401459,SKIPPED,,,,retest stop exceeds 2% risk cap
Bitget_2026-09-22T04:40:32.566175+00:00_KASUSDT_LONG_0.04329,2026-09-22T04:40:32.566175+00:00,KASUSDT,LONG,2026-09-22T05:05:00+00:00,0.04337,2026-09-22T05:10:00+00:00,0.04351,0.04351,0.042930571429,0.044668857142,1.331714,RESOLVED,FAIL,-1.0,2026-09-22T05:25:00+00:00,confirmed then retested
Bitget_2026-09-22T05:41:53.319773+00:00_FETUSDT_LONG_0.1997,2026-09-22T05:41:53.319773+00:00,FETUSDT,LONG,2026-09-22T05:50:00+00:00,0.202,2026-09-22T05:55:00+00:00,0.2024,0.2024,0.197048571429,,2.643986,SKIPPED,,,,retest stop exceeds 2% risk cap
Bitget_2026-09-22T05:42:02.128241+00:00_ONGUSDT_LONG_0.09071,2026-09-22T05:42:02.128241+00:00,ONGUSDT,LONG,2026-09-22T05:50:00+00:00,0.09094,2026-09-22T05:55:00+00:00,0.09094,0.09094,0.089818428571,0.093183142858,1.233309,ELIGIBLE_UNRESOLVED,,,,confirmed then retested
Bitget_2026-09-22T07:30:34.367957+00:00_DOGEUSDT_LONG_0.09913,2026-09-22T07:30:34.367957+00:00,DOGEUSDT,LONG,,,,,,,,,SKIPPED,,,,first closed 5m confirmation did not preserve direction
Bitget_2026-09-22T07:46:08.378950+00:00_METUSDT_LONG_0.2725,2026-09-22T07:46:08.378950+00:00,METUSDT,LONG,2026-09-22T07:55:00+00:00,0.2734,2026-09-22T08:10:00+00:00,0.2743,0.2743,0.270375714286,0.282148571428,1.430655,RESOLVED,EXPANSION,2.0,2026-09-22T08:50:00+00:00,confirmed then retested
Bitget_2026-09-22T12:56:46.185974+00:00_COOKIEUSDT_LONG_0.01287,2026-09-22T12:56:46.185974+00:00,COOKIEUSDT,LONG,,,,,,,,,SKIPPED,,,,first closed 5m confirmation did not preserve direction
Bitget_2026-09-22T12:57:03.914860+00:00_SONICUSDT_LONG_0.02631,2026-09-22T12:57:03.914860+00:00,SONICUSDT,LONG,2026-09-22T13:25:00+00:00,0.02644,2026-09-22T13:30:00+00:00,0.02632,0.02632,0.026040285714,0.026879428572,1.062744,RESOLVED,FAIL,-1.0,2026-09-22T13:50:00+00:00,confirmed then retested
