timestamp,provider,symbol
2026-09-22T09:03:58.230169+00:00,Bitget,GASUSDT
2026-09-22T09:03:58.230169+00:00,Bitget,GENIUSUSDT
2026-09-22T09:03:58.230169+00:00,Bitget,GIGGLEUSDT
2026-09-22T09:03:58.230169+00:00,Bitget,GLMUSDT
2026-09-22T09:03:58.230169+00:00,Bitget,GMTUSDT
2026-09-22T09:03:58.230169+00:00,Bitget,GMXUSDT
2026-09-22T09:03:58.230169+00:00,Bitget,GPSUSDT
2026-09-22T09:03:58.230169+00:00,Bitget,GRAMUSDT
2026-09-22T09:03:58.230169+00:00,Bitget,GRASSUSDT
2026-09-22T09:03:58.230169+00:00,Bitget,GRIFFAINUSDT
2026-09-22T09:03:58.230169+00:00,Bitget,GRTUSDT
2026-09-22T09:03:58.230169+00:00,Bitget,GRVTUSDT
2026-09-22T09:03:58.230169+00:00,Bitget,GUNUSDT
2026-09-22T09:03:58.230169+00:00,Bitget,GUSDT
2026-09-22T09:03:58.230169+00:00,Bitget,GWEIUSDT
2026-09-22T09:03:58.230169+00:00,Bitget,HAEDALUSDT
2026-09-22T09:03:58.230169+00:00,Bitget,HBARUSDT
2026-09-22T09:03:58.230169+00:00,Bitget,HIVEUSDT
2026-09-22T09:03:58.230169+00:00,Bitget,HOLOUSDT
2026-09-22T09:03:58.230169+00:00,Bitget,HOMEUSDT
2026-09-22T09:03:58.230169+00:00,Bitget,HOTUSDT
2026-09-22T09:03:58.230169+00:00,Bitget,HUMAUSDT
2026-09-22T09:03:58.230169+00:00,Bitget,HUSDT
2026-09-22T09:03:58.230169+00:00,Bitget,HYPERUSDT
2026-09-22T09:03:58.230169+00:00,Bitget,HYPEUSDT
2026-09-22T09:03:58.230169+00:00,Bitget,ICNTUSDT
2026-09-22T09:03:58.230169+00:00,Bitget,ICPUSDT
2026-09-22T09:03:58.230169+00:00,Bitget,IDOLUSDT
2026-09-22T09:03:58.230169+00:00,Bitget,IDUSDT
2026-09-22T09:03:58.230169+00:00,Bitget,ILVUSDT
2026-09-22T09:03:58.230169+00:00,Bitget,IMXUSDT
2026-09-22T09:03:58.230169+00:00,Bitget,INITUSDT
2026-09-22T09:03:58.230169+00:00,Bitget,INJUSDT
2026-09-22T09:03:58.230169+00:00,Bitget,INUSDT
2026-09-22T09:03:58.230169+00:00,Bitget,INXUSDT
2026-09-22T09:03:58.230169+00:00,Bitget,IOSTUSDT
2026-09-22T09:03:58.230169+00:00,Bitget,IOTAUSDT
2026-09-22T09:03:58.230169+00:00,Bitget,IOTXUSDT
2026-09-22T09:03:58.230169+00:00,Bitget,IOUSDT
2026-09-22T09:03:58.230169+00:00,Bitget,IRYSUSDT
2026-09-22T09:03:58.230169+00:00,Bitget,JASMYUSDT
2026-09-22T09:03:58.230169+00:00,Bitget,JCTUSDT
2026-09-22T09:03:58.230169+00:00,Bitget,JEPQUSDT
2026-09-22T09:03:58.230169+00:00,Bitget,JOEUSDT
2026-09-22T09:03:58.230169+00:00,Bitget,JSTUSDT
2026-09-22T09:03:58.230169+00:00,Bitget,JTOUSDT
2026-09-22T09:03:58.230169+00:00,Bitget,JUPUSDT
2026-09-22T09:03:58.230169+00:00,Bitget,KAIAUSDT
2026-09-22T09:03:58.230169+00:00,Bitget,KAITOUSDT
2026-09-22T09:03:58.230169+00:00,Bitget,KASUSDT
2026-09-22T09:03:58.230169+00:00,Bitget,KATUSDT
2026-09-22T09:03:58.230169+00:00,Bitget,KAVAUSDT
2026-09-22T09:03:58.230169+00:00,Bitget,KERNELUSDT
2026-09-22T09:03:58.230169+00:00,Bitget,KGENUSDT
2026-09-22T09:03:58.230169+00:00,Bitget,KITEUSDT
2026-09-22T09:03:58.230169+00:00,Bitget,KMNOUSDT
2026-09-22T09:03:58.230169+00:00,Bitget,KNCUSDT
2026-09-22T09:03:58.230169+00:00,Bitget,KSMUSDT
2026-09-22T09:03:58.230169+00:00,Bitget,LABUSDT
2026-09-22T09:03:58.230169+00:00,Bitget,LAUSDT
2026-09-22T09:03:58.230169+00:00,Bitget,LAYERUSDT
2026-09-22T09:03:58.230169+00:00,Bitget,LDOUSDT
2026-09-22T09:03:58.230169+00:00,Bitget,LINEAUSDT
2026-09-22T09:03:58.230169+00:00,Bitget,LINKUSDT
2026-09-22T09:03:58.230169+00:00,Bitget,LISTAUSDT
2026-09-22T09:03:58.230169+00:00,Bitget,LITUSDT
2026-09-22T09:03:58.230169+00:00,Bitget,LPTUSDT
2026-09-22T09:03:58.230169+00:00,Bitget,LQTYUSDT
2026-09-22T09:03:58.230169+00:00,Bitget,LSKUSDT
