id,timestamp,symbol,direction,baseline_entry,baseline_stop,baseline_target,anchor_40,buffer,planned_entry,entry_improvement_pct,planned_stop,planned_target,risk_pct,reward_r,status,fill_timestamp,outcome,outcome_r,outcome_timestamp,reason
Bitget_2026-09-21T18:50:03.248463+00:00_SUIUSDT_LONG_1.0092,2026-09-21T18:50:03.248463+00:00,SUIUSDT,LONG,1.0092,0.998644285714,1.0507,0.9998,0.000565,1.000365,0.875446,0.998644285714,1.0507,0.172009,29.252387,SKIPPED,,,,,baseline target exceeds maximum 6R geometry
Bitget_2026-09-21T18:50:03.598762+00:00_SUSHIUSDT_LONG_0.2553,2026-09-21T18:50:03.598762+00:00,SUSHIUSDT,LONG,0.2553,0.25343,0.2624,0.2536,8.21428571429e-05,0.253682142857,0.633708,0.25343,0.2624,0.099393,34.575071,SKIPPED,,,,,baseline target exceeds maximum 6R geometry
Bitget_2026-09-21T18:50:08.987487+00:00_牛来USDT_LONG_0.10509,2026-09-21T18:50:08.987487+00:00,牛来USDT,LONG,0.10509,0.103581,0.11414,0.1037,9.4e-05,0.103794,1.233229,0.103581,0.11414,0.205214,48.572770,SKIPPED,,,,,baseline target exceeds maximum 6R geometry
Bitget_2026-09-21T22:21:51.826440+00:00_1000000MOGUSDT_LONG_0.1194,2026-09-21T22:21:51.826440+00:00,1000000MOGUSDT,LONG,0.1194,0.118241428571,0.1241,,,,,,,,,SKIPPED,,,,,fewer than 40 fully closed 5m candles before signal
Bitget_2026-09-22T00:43:52.081715+00:00_FLOCKUSDT_LONG_0.07373,2026-09-22T00:43:52.081715+00:00,FLOCKUSDT,LONG,0.07373,0.073098714286,0.07642,0.07047,3.55e-05,0.0705055,4.373389,0.0704345,0.07642,0.100701,83.302817,SKIPPED,,,,,baseline target exceeds maximum 6R geometry
Bitget_2026-09-22T02:16:00.627928+00:00_APTUSDT_LONG_0.7687,2026-09-22T02:16:00.627928+00:00,APTUSDT,LONG,0.7687,0.767594285714,0.7807,0.7533,0.000681428571429,0.753981428571,1.914735,0.752618571429,0.7807,0.180755,19.604822,SKIPPED,,,,,baseline target exceeds maximum 6R geometry
Bitget_2026-09-22T02:45:12.999982+00:00_METUSDT_LONG_0.2795,2026-09-22T02:45:12.999982+00:00,METUSDT,LONG,0.2795,0.276844285714,0.2907,0.2729,0.000113571428571,0.273013571429,2.320726,0.272786428571,0.2907,0.083198,77.864780,SKIPPED,,,,,baseline target exceeds maximum 6R geometry
Bitget_2026-09-22T03:22:58.486657+00:00_BTCUSDT_LONG_85469.6,2026-09-22T03:22:58.486657+00:00,BTCUSDT,LONG,85469.6,85381.06142857143,85784.9,85340.4,17.09392,85357.49392,0.131165,85323.30608,85784.9,0.040053,12.501699,SKIPPED,,,,,baseline target exceeds maximum 6R geometry
Bitget_2026-09-22T03:23:19.557037+00:00_RUNEUSDT_LONG_0.6351,2026-09-22T03:23:19.557037+00:00,RUNEUSDT,LONG,0.6351,0.632085714286,0.6463,0.6295,0.000226428571429,0.629726428571,0.846098,0.629273571429,0.6463,0.071913,36.597792,SKIPPED,,,,,baseline target exceeds maximum 6R geometry
Bitget_2026-09-22T04:40:17.382709+00:00_ALCHUSDT_LONG_0.05092,2026-09-22T04:40:17.382709+00:00,ALCHUSDT,LONG,0.05092,0.050087571429,0.05601,0.05071,4.35714285714e-05,0.0507535714286,0.326843,0.050087571429,0.05601,1.312223,7.892535,SKIPPED,,,,,baseline target exceeds maximum 6R geometry
