id,timestamp,symbol,provider,price
2026-09-13T17:30:00+00:00_SEIUSDT,2026-09-13T17:30:00+00:00,SEIUSDT,Bitget,0.04537
2026-09-13T17:30:00+00:00_RDDTUSDT,2026-09-13T17:30:00+00:00,RDDTUSDT,Bitget,156.18
2026-09-13T17:30:00+00:00_BNCUSDT,2026-09-13T17:30:00+00:00,BNCUSDT,Bitget,4.8971
2026-09-13T17:30:00+00:00_SENTUSDT,2026-09-13T17:30:00+00:00,SENTUSDT,Bitget,0.01432
2026-09-13T17:30:00+00:00_SANDUSDT,2026-09-13T17:30:00+00:00,SANDUSDT,Bitget,0.03592
2026-09-13T17:30:00+00:00_MUUSDT,2026-09-13T17:30:00+00:00,MUUSDT,Bitget,943.06
2026-09-13T17:30:00+00:00_TUSDT,2026-09-13T17:30:00+00:00,TUSDT,Bitget,0.004413
2026-09-13T17:30:00+00:00_SQDUSDT,2026-09-13T17:30:00+00:00,SQDUSDT,Bitget,0.03223
2026-09-13T17:30:00+00:00_REDUSDT,2026-09-13T17:30:00+00:00,REDUSDT,Bitget,0.1302
2026-09-13T17:30:00+00:00_ATOMUSDT,2026-09-13T17:30:00+00:00,ATOMUSDT,Bitget,1.606
2026-09-13T17:30:00+00:00_UNITASUSDT,2026-09-13T17:30:00+00:00,UNITASUSDT,Bitget,0.3234
2026-09-13T17:30:00+00:00_MINIMAXHKDUSDT,2026-09-13T17:30:00+00:00,MINIMAXHKDUSDT,Bitget,257.4
2026-09-13T17:30:00+00:00_SKHYNIXUSDT,2026-09-13T17:30:00+00:00,SKHYNIXUSDT,Bitget,1301.22
2026-09-13T17:30:00+00:00_FFUSDT,2026-09-13T17:30:00+00:00,FFUSDT,Bitget,0.14481
2026-09-13T17:30:00+00:00_TRXUSDT,2026-09-13T17:30:00+00:00,TRXUSDT,Bitget,0.34082
2026-09-13T17:30:00+00:00_LITUSDT,2026-09-13T17:30:00+00:00,LITUSDT,Bitget,4.199
2026-09-13T17:30:00+00:00_BSBUSDT,2026-09-13T17:30:00+00:00,BSBUSDT,Bitget,0.0991
2026-09-13T17:30:00+00:00_CSOPSK2LHKDUSDT,2026-09-13T17:30:00+00:00,CSOPSK2LHKDUSDT,Bitget,39.362
2026-09-13T17:30:00+00:00_OPNUSDT,2026-09-13T17:30:00+00:00,OPNUSDT,Bitget,0.04793
2026-09-13T17:30:00+00:00_NVDAUSDT,2026-09-13T17:30:00+00:00,NVDAUSDT,Bitget,215.51
2026-09-13T17:30:00+00:00_CHIPUSDT,2026-09-13T17:30:00+00:00,CHIPUSDT,Bitget,0.04354
2026-09-13T17:30:00+00:00_ARKUSDT,2026-09-13T17:30:00+00:00,ARKUSDT,Bitget,0.1437
2026-09-13T17:30:00+00:00_IDOLUSDT,2026-09-13T17:30:00+00:00,IDOLUSDT,Bitget,0.00937
2026-09-13T17:30:00+00:00_CPUSDT,2026-09-13T17:30:00+00:00,CPUSDT,Bitget,0.0136
2026-09-13T17:30:00+00:00_MINIMAXUSDT,2026-09-13T17:30:00+00:00,MINIMAXUSDT,Bitget,32.766
2026-09-13T17:30:00+00:00_牛来USDT,2026-09-13T17:30:00+00:00,牛来USDT,Bitget,0.12396
2026-09-13T17:30:00+00:00_INTCUSDT,2026-09-13T17:30:00+00:00,INTCUSDT,Bitget,99.34
2026-09-13T17:30:00+00:00_DYDXUSDT,2026-09-13T17:30:00+00:00,DYDXUSDT,Bitget,0.1147
2026-09-13T17:30:00+00:00_XLMUSDT,2026-09-13T17:30:00+00:00,XLMUSDT,Bitget,0.17951
2026-09-13T17:30:00+00:00_XRPUSDT,2026-09-13T17:30:00+00:00,XRPUSDT,Bitget,1.3531
2026-09-13T17:30:00+00:00_AKEUSDT,2026-09-13T17:30:00+00:00,AKEUSDT,Bitget,0.0152232
2026-09-13T17:30:00+00:00_KASUSDT,2026-09-13T17:30:00+00:00,KASUSDT,Bitget,0.03458
2026-09-13T17:30:00+00:00_ARXUSDT,2026-09-13T17:30:00+00:00,ARXUSDT,Bitget,0.15722
2026-09-13T17:30:00+00:00_TQQQUSDT,2026-09-13T17:30:00+00:00,TQQQUSDT,Bitget,69.6
2026-09-13T17:30:00+00:00_NETUSDT,2026-09-13T17:30:00+00:00,NETUSDT,Bitget,309.07
2026-09-13T17:30:00+00:00_CRDOUSDT,2026-09-13T17:30:00+00:00,CRDOUSDT,Bitget,158.43
2026-09-13T17:30:00+00:00_GMXUSDT,2026-09-13T17:30:00+00:00,GMXUSDT,Bitget,7.817
2026-09-13T17:30:00+00:00_LTCUSDT,2026-09-13T17:30:00+00:00,LTCUSDT,Bitget,54.56
2026-09-13T17:30:00+00:00_ZSUSDT,2026-09-13T17:30:00+00:00,ZSUSDT,Bitget,167.66
2026-09-13T17:30:00+00:00_PENDLEUSDT,2026-09-13T17:30:00+00:00,PENDLEUSDT,Bitget,2.1442
2026-09-13T17:30:00+00:00_RENDERUSDT,2026-09-13T17:30:00+00:00,RENDERUSDT,Bitget,1.3974
2026-09-13T17:30:00+00:00_CYSUSDT,2026-09-13T17:30:00+00:00,CYSUSDT,Bitget,0.12421
2026-09-13T17:30:00+00:00_CROSSUSDT,2026-09-13T17:30:00+00:00,CROSSUSDT,Bitget,0.11311
2026-09-13T17:30:00+00:00_XTZUSDT,2026-09-13T17:30:00+00:00,XTZUSDT,Bitget,0.293
2026-09-13T17:30:00+00:00_RAVEUSDT,2026-09-13T17:30:00+00:00,RAVEUSDT,Bitget,0.18606
2026-09-13T17:30:00+00:00_UBUSDT,2026-09-13T17:30:00+00:00,UBUSDT,Bitget,0.12895
2026-09-13T17:30:00+00:00_NBISUSDT,2026-09-13T17:30:00+00:00,NBISUSDT,Bitget,216.78
2026-09-13T17:30:00+00:00_FETUSDT,2026-09-13T17:30:00+00:00,FETUSDT,Bitget,0.1712
2026-09-13T17:30:00+00:00_BZUSDT,2026-09-13T17:30:00+00:00,BZUSDT,Bitget,101.28
2026-09-13T17:30:00+00:00_AXLUSDT,2026-09-13T17:30:00+00:00,AXLUSDT,Bitget,0.04467
2026-09-13T17:30:00+00:00_ETCUSDT,2026-09-13T17:30:00+00:00,ETCUSDT,Bitget,7.635
2026-09-13T17:30:00+00:00_FWDIUSDT,2026-09-13T17:30:00+00:00,FWDIUSDT,Bitget,6.507
2026-09-13T17:30:00+00:00_LDOUSDT,2026-09-13T17:30:00+00:00,LDOUSDT,Bitget,0.3701
2026-09-13T17:30:00+00:00_QCOMUSDT,2026-09-13T17:30:00+00:00,QCOMUSDT,Bitget,179.56
2026-09-13T17:30:00+00:00_AEONUSDT,2026-09-13T17:30:00+00:00,AEONUSDT,Bitget,0.04812
2026-09-13T17:30:00+00:00_ZHIPUHKDUSDT,2026-09-13T17:30:00+00:00,ZHIPUHKDUSDT,Bitget,740.5
2026-09-13T17:30:00+00:00_龙虾USDT,2026-09-13T17:30:00+00:00,龙虾USDT,Bitget,0.144103
2026-09-13T17:30:00+00:00_BEUSDT,2026-09-13T17:30:00+00:00,BEUSDT,Bitget,264.33
2026-09-13T17:30:00+00:00_ZHIPUUSDT,2026-09-13T17:30:00+00:00,ZHIPUUSDT,Bitget,94.39
2026-09-13T17:30:00+00:00_EVAAUSDT,2026-09-13T17:30:00+00:00,EVAAUSDT,Bitget,0.4956
2026-09-13T17:30:00+00:00_NEARUSDT,2026-09-13T17:30:00+00:00,NEARUSDT,Bitget,2.3483
2026-09-13T17:30:00+00:00_CTRUSDT,2026-09-13T17:30:00+00:00,CTRUSDT,Bitget,0.01075
2026-09-13T17:30:00+00:00_UNITREEUSDT,2026-09-13T17:30:00+00:00,UNITREEUSDT,Bitget,68.13
2026-09-13T17:30:00+00:00_REZUSDT,2026-09-13T17:30:00+00:00,REZUSDT,Bitget,0.004836
2026-09-13T17:30:00+00:00_ASTRUSDT,2026-09-13T17:30:00+00:00,ASTRUSDT,Bitget,0.006322
2026-09-13T17:30:00+00:00_ARBUSDT,2026-09-13T17:30:00+00:00,ARBUSDT,Bitget,0.1392
2026-09-13T17:30:00+00:00_SOFTBANKUSDT,2026-09-13T17:30:00+00:00,SOFTBANKUSDT,Bitget,39.736
