timestamp,symbol,provider,stage,direction,confidence,alignment,risk_pct,v2_score,location_15m,exhaustion_15m,base_15m,structure_shift_5m,reversal_trigger_5m,early_reversal_score,reason
2026-09-25T03:56:33.332982+00:00,HBARUSDT,Bitget,NO_DIRECTION,,,,,9.0,,,,,,,early reversal direction returned None
2026-09-25T03:56:33.332982+00:00,OPUSDT,Bitget,NO_DIRECTION,,,,,8.8,,,,,,,early reversal direction returned None
2026-09-25T03:56:33.332982+00:00,REUSDT,Bitget,NO_DIRECTION,,,,,8.7,,,,,,,early reversal direction returned None
2026-09-25T03:56:33.332982+00:00,FILUSDT,Bitget,NO_DIRECTION,,,,,8.6,,,,,,,early reversal direction returned None
2026-09-25T03:56:33.332982+00:00,MELANIAUSDT,Bitget,NO_DIRECTION,,,,,8.6,,,,,,,early reversal direction returned None
2026-09-25T03:56:33.332982+00:00,ADAUSDT,Bitget,NO_DIRECTION,,,,,8.3,,,,,,,early reversal direction returned None
2026-09-25T03:56:33.332982+00:00,CYSUSDT,Bitget,NO_DIRECTION,,,,,8.0,,,,,,,early reversal direction returned None
2026-09-25T03:56:33.332982+00:00,NEARUSDT,Bitget,NO_DIRECTION,,,,,7.8,,,,,,,early reversal direction returned None
2026-09-25T03:56:33.332982+00:00,ORCAUSDT,Bitget,NO_DIRECTION,,,,,7.8,,,,,,,early reversal direction returned None
2026-09-25T03:56:33.332982+00:00,ICPUSDT,Bitget,REVERSAL_FAILED,LONG,68.8,0.0,,0.0,1.0,,,,,,countertrend early reversal requires stronger confirmation
2026-09-25T03:56:33.332982+00:00,CPUSDT,Bitget,NO_DIRECTION,,,,,7.6,,,,,,,early reversal direction returned None
2026-09-25T03:56:33.332982+00:00,KASUSDT,Bitget,NO_DIRECTION,,,,,7.6,,,,,,,early reversal direction returned None
2026-09-25T03:56:33.332982+00:00,PIXELUSDT,Bitget,NO_DIRECTION,,,,,7.6,,,,,,,early reversal direction returned None
2026-09-25T03:56:33.332982+00:00,PROSUSDT,Bitget,NO_DIRECTION,,,,,7.6,,,,,,,early reversal direction returned None
2026-09-25T03:56:33.332982+00:00,TAOUSDT,Bitget,NO_DIRECTION,,,,,7.3,,,,,,,early reversal direction returned None
2026-09-25T03:56:33.332982+00:00,PHAUSDT,Bitget,NO_DIRECTION,,,,,7.2,,,,,,,early reversal direction returned None
2026-09-25T03:56:33.332982+00:00,CAKEUSDT,Bitget,NO_DIRECTION,,,,,7.1,,,,,,,early reversal direction returned None
2026-09-25T03:56:33.332982+00:00,CRVUSDT,Bitget,NO_DIRECTION,,,,,7.0,,,,,,,early reversal direction returned None
2026-09-25T03:56:33.332982+00:00,GALAUSDT,Bitget,NO_DIRECTION,,,,,7.0,,,,,,,early reversal direction returned None
2026-09-25T03:56:33.332982+00:00,IOSTUSDT,Bitget,NO_DIRECTION,,,,,6.9,,,,,,,early reversal direction returned None
2026-09-25T03:56:33.332982+00:00,SYRUPUSDT,Bitget,NO_DIRECTION,,,,,6.9,,,,,,,early reversal direction returned None
2026-09-25T03:56:33.332982+00:00,XAIUSDT,Bitget,NO_DIRECTION,,,,,6.9,,,,,,,early reversal direction returned None
2026-09-25T03:56:33.332982+00:00,BTCUSDT,Bitget,NO_DIRECTION,,,,,6.8,,,,,,,early reversal direction returned None
2026-09-25T03:56:33.332982+00:00,EGLDUSDT,Bitget,NO_DIRECTION,,,,,6.8,,,,,,,early reversal direction returned None
2026-09-25T03:56:33.332982+00:00,IOUSDT,Bitget,NO_DIRECTION,,,,,6.8,,,,,,,early reversal direction returned None
2026-09-25T03:56:33.332982+00:00,RAYUSDT,Bitget,NO_DIRECTION,,,,,6.8,,,,,,,early reversal direction returned None
2026-09-25T03:56:33.332982+00:00,WLFIUSDT,Bitget,NO_DIRECTION,,,,,6.8,,,,,,,early reversal direction returned None
2026-09-25T03:56:33.332982+00:00,ARUSDT,Bitget,NO_DIRECTION,,,,,6.7,,,,,,,early reversal direction returned None
2026-09-25T03:56:33.332982+00:00,TIAUSDT,Bitget,NO_DIRECTION,,,,,6.7,,,,,,,early reversal direction returned None
2026-09-25T03:56:33.332982+00:00,WLDUSDT,Bitget,NO_DIRECTION,,,,,6.7,,,,,,,early reversal direction returned None
2026-09-25T03:56:33.332982+00:00,DASHUSDT,Bitget,NO_DIRECTION,,,,,6.6,,,,,,,early reversal direction returned None
2026-09-25T03:56:33.332982+00:00,VVVUSDT,Bitget,NO_DIRECTION,,,,,6.6,,,,,,,early reversal direction returned None
